City,Art,Erotic,History,Planetarium,Science
"Port Louis, Mauritius",2,0,3,2,2
"Port Moresby, Papua New Guinea",1,0,0,0,0
"Port-au-Prince, Haiti",0,0,2,0,0
"Porto-Novo, Benin",0,0,3,0,1
"Prague, Czech Republic",22,2,39,3,8
"Praia, Cape Verde",0,0,1,0,0
"Pristina, Kosovo",0,0,4,1,0
"Pyongyang, North Korea",0,0,4,0,0
"Quito, Ecuador",6,0,7,3,5
"Rabat, Morocco",3,0,7,0,2
"Reykjavík, Iceland",9,1,8,1,4
"Riga, Latvia",12,3,34,1,6
"Riyadh, Saudi Arabia",5,0,11,4,4
"Road Town, British Virgin Islands",0,0,1,0,0
"Rome, Italy",55,0,61,4,7
"Roseau, Dominica",0,0,1,0,0
"Saipan, Northern Mariana Islands",0,0,2,0,0
"San José, Costa Rica",7,1,7,2,4
"San Juan, Puerto Rico",6,0,7,0,7
"San Marino, San Marino",3,0,4,0,1
"San Salvador, El Salvador",4,1,5,0,1
"Santiago, Chile",12,1,22,4,5
"Santo Domingo, Dominican Republic",4,0,8,1,0
"Sarajevo, Bosnia and Herzegovina",2,0,10,0,0
"Singapore, Singapore",24,2,57,7,9
"Skopje, Macedonia",4,1,8,3,3
"Sofia, Bulgaria",4,1,12,3,4
"St. George's, Grenada",0,0,1,0,0
"St. Helier, Jersey",0,0,5,0,0
"St. John's, Antigua and Barbuda",0,0,2,0,0
"St. Peter Port, Guernsey",1,0,7,0,0
"St. Pierre, Saint Pierre and Miquelon",0,0,1,0,0
"Stanley, Falkland Islands",0,0,1,0,0
"Sucre, Bolivia",2,0,8,0,2
"Sukhumi, Abkhazia",0,0,1,0,0
"Suva, Fiji",0,0,1,0,0
"Taipei, Republic of China (Taiwan)",16,0,31,3,4
"Tallinn, Estonia",11,0,26,0,4
"Tarawa, Kiribati",0,0,0,0,0
"Tbilisi, Georgia",7,0,9,1,2
"Tegucigalpa, Honduras",3,0,6,0,3
"Tehran, Iran",20,0,36,3,5
"The Valley, Anguilla",0,0,2,0,0
"Thimphu, Bhutan",1,0,0,0,0
"Tirana, Albania",1,0,4,0,0
"Tokyo, Japan",118,1,158,21,34
"Tripoli, Libya",0,0,1,0,0
"Tórshavn, Faroe Islands",1,0,2,0,0
"Ulaanbaatar, Mongolia",6,0,4,0,5
"Vaduz, Liechtenstein",2,0,5,4,1
"Valletta, Malta",3,0,8,0,0
"Victoria, Seychelles",0,0,1,0,0
"Vienna, Austria",34,0,50,5,5
"Vientiane, Laos",3,0,5,0,0
"Vilnius, Lithuania",5,0,12,2,4
"Warsaw, Poland",13,1,33,4,7
"Wellington, New Zealand",5,0,6,1,2
"West Island, Cocos (Keeling) Islands",0,0,0,0,0
"Willemstad, Curaçao",1,0,4,0,0
"Windhoek, Namibia",0,0,5,0,0
"Yamoussoukro, Côte d'Ivoire",0,0,0,0,0
"Yaoundé, Cameroon",0,0,0,0,0
"Yaren, Nauru",0,0,0,0,0
"Yerevan, Armenia",5,0,7,0,4
"Zagreb, Croatia",8,0,8,0,4
